Code,Ca,Ba,Cu,Mn,Zn,Li,B,Mg,Si,Sr,Fe,Region,lengthCm,weightKg,Sex
71,9898.642857,0.67345885,0.13233584,0.68140833,6.82956521,0.07348276,13.07142857,162.7857143,7.71316653,75.64285714,1.42087424,1,140,4,2
75,8364.42623,0.59494953,0.14039643,0.47511039,5.21793822,0,11.36083825,172.295082,8.93455815,69.3442623,1.60964216,1,122,5,1
229,7031.942446,0.49668431,0.1106751,0.33902527,4.4481639,0.02467047,11.43884892,124.9640288,6.60886097,59.92805755,1.04887771,1,139,7,1
230,10076.34146,0.36898005,0.10016762,0.6459614,5.19542667,0.06272919,12.36083825,182.9268293,7.59382612,100.0813008,1.12173403,1,123,4,2
233,8545.695364,0.93154326,0.08999004,0.95509223,9.87517243,0.09083962,12.51655629,149.1390728,7.68509948,67.08609272,1.11466086,1,151,7,1
252,10944.24,0.7011845,0.0869714,0.54520421,8.3023243,0.02057517,11.36083825,191.28,9.72980767,84.48,1.42348355,1,125,7,1
259,6485.488722,0.37516222,0.14169947,0.28347065,3.86831013,0.05156685,13.45864662,118.4210526,9.11557452,74.36090226,1.37098974,1,133,7,2
261,15266.63793,0.98034954,0.06353866,0.47511039,9.0863438,0.03695254,12.36083825,241.3793103,9.3642971,122.5862069,0.89971697,1,116,5,2
262,10363.08943,1.29143471,0.13977863,0.52620472,8.5906883,0.04878937,12.84552846,188.3739837,8.11406997,92.84552846,1.30959421,1,123,4,2
266,10355.13158,2.76603116,0.08575084,0.30003324,7.78298177,0.12408274,11.18421053,173.2894737,6.75553087,107.8289474,1.24642787,1,152,8,1
269,10687.28571,1.71411965,0.09065613,0.51380943,8.69583236,0.12247127,12.28571429,190.2142857,7.43829299,106.2142857,1.60296708,1,140,6,1
272,8261.724138,0.54649234,0.17307813,0.27277626,5.73628649,0.02217152,13.18965517,123.1896552,7.78023298,64.31034483,1.76436764,1,116,5,2
275,7610.33557,0.71148729,0.0653196,0.16665378,3.00983128,0.04602947,10.80536913,131.5436242,6.15299794,64.96644295,1.22312193,1,149,10,1
310,9359.640719,0.82858645,0.11648656,0.77511039,5.5254944,0.06160232,9.82035928,156.4071856,5.11309299,80.5988024,1.20964216,1,167,5,1
375,11825.60976,0.35641284,0.05208443,0.42815126,5.43006755,0.04878937,11.8699187,189.5121951,5.98081352,95.12195122,1.27489878,1,123,5.5,2
391,11128.58156,0.41846699,0.04793479,0.71425204,7.8060874,0.09120201,9.85815603,188.1560284,3.99418122,88.58156028,0.96859415,1,141,7,2
392,10678.66667,0.36240688,0.05979634,0.60801159,6.11785829,0,10.58333333,179.0833333,4.00482562,85.66666667,1.16011919,1,120,4,2
405,7789.757576,0.41554748,0.04006914,0.34899637,4.35286464,0.0103915,7.81818182,129.7575758,3.45775047,66.90909091,0.71446976,1,165,10,1
418,9500.5,0.51659709,0.05477016,0.27271537,5.49796774,0.04286495,9.66666667,184.8333333,4.12805812,80,0.89901894,1,120,4,2
420,11428.07143,1.28012527,0.10840694,0.40448013,8.75092255,0.04898851,7.21428571,198.2857143,3.91338491,114,0.86776569,1,140,6,1
2,12109.84375,1.33490538,0.24842782,0.90410077,9.02259524,0.03348824,3.828125,198.359375,17.39424966,92.03125,2.0494836,2,128,6.4,2
30,9887.642857,1.38043764,0.17342825,0.9787453,8.47165245535217,0.07348276,11.64285714,166.9285714,8.15671567,78.14285714,1.88240343,2,140,8.9,1
